  0 SolverType.BT           81    0.0019 [4, 8, 3, 9, 2, 1, 6, 5, 7, 9, 6, 7, 3, 4, 5, 8, 2, 1, 2, 5, 1, 8, 7, 6, 4, 9, 3, 5, 4, 8, 1, 3, 2, 9, 7, 6, 7, 2, 9, 5, 6, 4, 1, 3, 8, 1, 3, 6, 7, 9, 8, 2, 4, 5, 3, 7, 2, 6, 8, 9, 5, 1, 4, 8, 1, 4, 2, 5, 3, 7, 6, 9, 6, 9, 5, 4, 1, 7, 3, 8, 2]
  1 SolverType.BT          234    0.0070 [2, 4, 5, 9, 8, 1, 3, 7, 6, 1, 6, 9, 2, 7, 3, 5, 8, 4, 8, 3, 7, 5, 6, 4, 2, 1, 9, 9, 7, 6, 1, 2, 5, 4, 3, 8, 5, 1, 3, 4, 9, 8, 6, 2, 7, 4, 8, 2, 7, 3, 6, 9, 5, 1, 3, 9, 1, 6, 5, 7, 8, 4, 2, 7, 2, 8, 3, 4, 9, 1, 6, 5, 6, 5, 4, 8, 1, 2, 7, 9, 3]
  2 SolverType.BT         3581    0.1151 [4, 6, 2, 8, 3, 1, 9, 5, 7, 7, 9, 5, 4, 2, 6, 1, 8, 3, 3, 8, 1, 7, 9, 5, 4, 2, 6, 1, 7, 3, 9, 8, 4, 2, 6, 5, 6, 5, 9, 3, 1, 2, 7, 4, 8, 2, 4, 8, 5, 6, 7, 3, 1, 9, 9, 2, 6, 1, 7, 8, 5, 3, 4, 8, 3, 4, 2, 5, 9, 6, 7, 1, 5, 1, 7, 6, 4, 3, 8, 9, 2]
  3 SolverType.BT         1869    0.0783 [1, 3, 7, 2, 5, 6, 8, 4, 9, 9, 2, 8, 3, 1, 4, 5, 6, 7, 4, 6, 5, 8, 9, 7, 3, 1, 2, 6, 7, 3, 5, 4, 2, 9, 8, 1, 8, 1, 9, 6, 7, 3, 2, 5, 4, 5, 4, 2, 1, 8, 9, 7, 3, 6, 2, 5, 6, 7, 3, 1, 4, 9, 8, 3, 9, 1, 4, 2, 8, 6, 7, 5, 7, 8, 4, 9, 6, 5, 1, 2, 3]
  4 SolverType.BT           81    0.0022 [5, 2, 3, 8, 1, 6, 7, 4, 9, 7, 8, 4, 5, 9, 3, 1, 2, 6, 6, 9, 1, 4, 7, 2, 8, 3, 5, 2, 3, 9, 1, 4, 5, 6, 8, 7, 4, 5, 7, 2, 6, 8, 9, 1, 3, 1, 6, 8, 9, 3, 7, 2, 5, 4, 3, 4, 2, 7, 8, 9, 5, 6, 1, 9, 1, 5, 6, 2, 4, 3, 7, 8, 8, 7, 6, 3, 5, 1, 4, 9, 2]
  5 SolverType.BT       173371   10.1270 [1, 7, 6, 9, 2, 3, 5, 8, 4, 5, 2, 4, 8, 1, 7, 6, 3, 9, 8, 9, 3, 6, 5, 4, 2, 7, 1, 9, 5, 7, 3, 4, 8, 1, 6, 2, 6, 3, 8, 1, 9, 2, 4, 5, 7, 4, 1, 2, 7, 6, 5, 3, 9, 8, 2, 6, 5, 4, 8, 9, 7, 1, 3, 7, 8, 1, 2, 3, 6, 9, 4, 5, 3, 4, 9, 5, 7, 1, 8, 2, 6]
  6 SolverType.BT         9341    0.3380 [1, 4, 3, 9, 8, 6, 2, 5, 7, 6, 7, 9, 4, 2, 5, 3, 8, 1, 2, 8, 5, 7, 3, 1, 6, 9, 4, 9, 6, 2, 3, 5, 4, 1, 7, 8, 3, 5, 7, 6, 1, 8, 9, 4, 2, 4, 1, 8, 2, 7, 9, 5, 6, 3, 8, 2, 1, 5, 6, 7, 4, 3, 9, 7, 9, 6, 1, 4, 3, 8, 2, 5, 5, 3, 4, 8, 9, 2, 7, 1, 6]
  7 SolverType.BT           81    0.0015 [4, 8, 7, 1, 5, 6, 9, 3, 2, 3, 6, 2, 4, 9, 8, 7, 5, 1, 9, 1, 5, 3, 7, 2, 8, 6, 4, 8, 4, 6, 5, 1, 9, 2, 7, 3, 5, 9, 3, 7, 2, 4, 1, 8, 6, 2, 7, 1, 8, 6, 3, 5, 4, 9, 1, 2, 4, 6, 8, 5, 3, 9, 7, 7, 3, 8, 9, 4, 1, 6, 2, 5, 6, 5, 9, 2, 3, 7, 4, 1, 8]
  8 SolverType.BT        29868    1.8661 [8, 1, 4, 9, 7, 6, 5, 3, 2, 6, 5, 9, 1, 2, 3, 4, 7, 8, 7, 3, 2, 8, 5, 4, 1, 6, 9, 9, 4, 8, 2, 6, 5, 3, 1, 7, 2, 7, 5, 3, 4, 1, 8, 9, 6, 1, 6, 3, 7, 9, 8, 2, 4, 5, 3, 9, 1, 6, 8, 2, 7, 5, 4, 5, 8, 7, 4, 3, 9, 6, 2, 1, 4, 2, 6, 5, 1, 7, 9, 8, 3]
  9 SolverType.BT         8422    0.3637 [7, 6, 1, 9, 2, 8, 4, 5, 3, 9, 2, 5, 7, 4, 3, 1, 6, 8, 4, 3, 8, 6, 1, 5, 9, 2, 7, 3, 5, 7, 4, 6, 1, 2, 8, 9, 8, 9, 4, 3, 7, 2, 6, 1, 5, 2, 1, 6, 5, 8, 9, 3, 7, 4, 6, 8, 9, 1, 5, 4, 7, 3, 2, 1, 4, 2, 8, 3, 7, 5, 9, 6, 5, 7, 3, 2, 9, 6, 8, 4, 1]
 10 SolverType.BT         2688    0.1120 [9, 7, 6, 1, 2, 5, 4, 3, 8, 1, 5, 8, 4, 3, 6, 9, 2, 7, 4, 2, 3, 8, 7, 9, 1, 5, 6, 2, 3, 4, 7, 6, 1, 8, 9, 5, 8, 6, 7, 9, 5, 2, 3, 1, 4, 5, 1, 9, 3, 8, 4, 7, 6, 2, 7, 8, 2, 5, 1, 3, 6, 4, 9, 3, 9, 5, 6, 4, 7, 2, 8, 1, 6, 4, 1, 2, 9, 8, 5, 7, 3]
